customer_id,recency_days,frequency,monetary_value,session_count,avg_session_min,categories_browsed,discount_usage_pct,mobile_pct,email_open_rate,cart_abandon_rate,true_cluster
CUST_01116,158,1,593.8616814634382,10,6.940117180415207,4.0,0.3479074570214071,0.2386454103988827,0.20574874277241467,0.7472944750353152,2
CUST_01368,23,2,217.81656304370176,6,4.586303249901402,2.0,0.28166698957883746,0.8312772853469439,0.2833281263076818,0.5719601236077384,3
CUST_00422,34,5,378.58082401164717,67,9.117542069475517,4.0,0.6400094518738609,0.5188893039143285,0.5049974869446933,0.5420218008779236,1
CUST_00413,40,4,332.2776307814004,58,8.3418767422566,4.0,0.7887349338201786,0.659899171614478,0.548587141736758,0.49698067998693884,1
CUST_00451,25,5,294.9120333611718,69,8.610656574697384,6.0,0.7131698377525368,0.5104939170433676,0.40251262832399437,0.35842100357418705,1
CUST_00861,154,3,386.152270401035,5,4.387979753806382,5.0,0.14490676734343927,0.5236073936615271,0.22752210549096086,0.6605190906544289,2
CUST_01063,143,3,473.6520793790215,6,3.849960607091172,5.0,0.3576904988856012,0.3890281989009205,0.14794117699297288,0.7266879212316046,2
CUST_00741,26,7,77.06187249240719,40,5.011775328562443,4.0,0.5792722762323839,0.6613537067021293,0.45008036751166114,0.4189194579838381,1
CUST_01272,3,3,80.24309098955922,3,9.67662475937357,3.0,0.1698458349459634,0.6181556083270596,0.18534296565253178,0.7307661922527049,3
CUST_00259,12,12,797.121709411631,46,8.038533047528889,9.0,0.0754571157647841,0.5570581175749711,0.6670513301129416,0.1797549807777109,0
CUST_00888,151,3,559.9446029240107,9,7.498104335972334,2.0,0.2954857562369746,0.3087031339020616,0.17349978636370011,0.5344665034721077,2
CUST_01432,28,1,158.34706638200103,5,6.270230206168409,2.0,0.31425067925813704,0.6802692199524271,0.22850736139988523,0.5707747287483853,3
CUST_00712,16,6,161.13984077997443,50,7.903032199058688,5.0,0.813156712562398,0.5474457461930333,0.3479735680313519,0.43222027960871656,1
CUST_01382,29,1,188.05302180995085,9,7.0321521526780995,2.0,0.11052462446156744,0.7779412097883069,0.2908909409518944,0.7268970862425823,3
CUST_00070,16,19,906.9636506155842,44,16.43782353202269,7.0,0.058691801680719496,0.5189342301131376,0.4741983568631401,0.15063570534497756,0
CUST_01268,9,2,89.66323784323045,11,4.04638047276975,3.0,0.29163929837747443,0.8373391983638987,0.18950656237813535,0.6905813668342697,3
